",Type selection,Temps d'execution, Meilleur score, Nombre d'individu, Nombre generation, Mutation, Survivants,"
",selection_par_rang,4.39428973197937,544.6752422728605,50,10,0.01,35,"
",selection_proportionnelle,4.350320100784302,685.9196307989855,50,10,0.01,35,"
",selection_duel,8.406512975692749,714.5547395327077,50,10,0.01,17,"
",selection_duel_pondere,8.523202896118164,507.1624285174748,50,10,0.01,17,"
",selection_p_best,3.213404417037964,390.9015120707414,50,10,0.01,40,"
",selection_par_rang,3.1555593013763428,642.0361103889575,50,10,0.01,40,"
",selection_proportionnelle,3.119654655456543,944.9929110581136,50,10,0.01,40,"
",selection_duel,7.741293668746948,482.6596585040603,50,10,0.01,20,"
",selection_duel_pondere,10.039660692214966,572.6057635965055,50,10,0.01,20,"
",selection_p_best,2.3556971549987793,716.6842087593346,50,10,0.01,45,"
",selection_par_rang,2.3267762660980225,917.3441845905359,50,10,0.01,45,"
",selection_proportionnelle,2.3477210998535156,690.2636569834307,50,10,0.01,45,"
",selection_duel,7.185778379440308,667.4890278095605,50,10,0.01,22,"
",selection_duel_pondere,7.095020771026611,507.9413002063995,50,10,0.01,22,"
",selection_p_best,11.515165567398071,421.82284572580915,50,10,0.05,5,"
",selection_par_rang,11.22796368598938,391.49210964879734,50,10,0.05,5,"
",selection_proportionnelle,9.222332000732422,621.2577411354464,50,10,0.05,5,"
",selection_duel,10.212684154510498,498.97461779453874,50,10,0.05,2,"
",selection_duel_pondere,10.05414867401123,371.13387273741637,50,10,0.05,2,"
",selection_p_best,8.503209590911865,611.8675892588981,50,10,0.05,10,"
",selection_par_rang,8.583041906356812,664.732693138508,50,10,0.05,10,"
",selection_proportionnelle,8.349698305130005,467.973368593671,50,10,0.05,10,"
",selection_duel,9.496564388275146,273.23786429115813,50,10,0.05,5,"
",selection_duel_pondere,9.505616903305054,546.724667983346,50,10,0.05,5,"
",selection_p_best,7.525911331176758,743.4759799943796,50,10,0.05,15,"
",selection_par_rang,8.272830486297607,440.25357048988343,50,10,0.05,15,"
",selection_proportionnelle,8.008578777313232,809.6053790480959,50,10,0.05,15,"
",selection_duel,9.196443319320679,809.6053790480959,50,10,0.05,7,"
",selection_duel_pondere,9.581330299377441,662.2614347334478,50,10,0.05,7,"
",selection_p_best,9.085682392120361,459.04973920276285,50,10,0.001,5,"
",selection_par_rang,9.317085266113281,568.6986815321483,50,10,0.001,5,"
",selection_proportionnelle,9.218512058258057,326.7790230395188,50,10,0.001,5,"
",selection_duel,9.361963272094727,332.7857772237283,50,10,0.001,2,"
",selection_duel_pondere,9.519542455673218,552.5302612510144,50,10,0.001,2,"
",selection_p_best,8.10375189781189,495.0150486466024,50,10,0.001,10,"
",selection_par_rang,8.522209405899048,584.8837046799515,50,10,0.001,10,"
",selection_proportionnelle,8.207089900970459,692.7727434210175,50,10,0.001,10,"
",selection_duel,8.971967697143555,630.9826289050565,50,10,0.001,5,"
",selection_duel_pondere,9.141552448272705,632.084595395128,50,10,0.001,5,"
",selection_p_best,7.630598783493042,578.245673083373,50,10,0.001,15,"
",selection_par_rang,7.296447277069092,495.21753688999166,50,10,0.001,15,"
",selection_proportionnelle,6.955438137054443,407.03020161247997,50,10,0.001,15,"
",selection_duel,8.551133155822754,419.0612328210623,50,10,0.001,7,"
",selection_duel_pondere,8.253920555114746,461.09495149619926,50,10,0.001,7,"
",selection_p_best,5.8583269119262695,639.9032448339825,50,10,0.001,20,"
